Public_Food_key,Food_Survey_ID,Food_Category,Food_Name,Measure ID,Quantity,Measure_desc,Weight_grams,Volume_mLs
F009749,19205,Milk products and dishes,"Yoghurt, vanilla flavoured, (2% fat)",74714,1,tub/container,200,0
F008155,20601,Dairy & meat substitutes,"Sausage, vegetarian style, unfortified, raw",74715,1,sausage,72,0
F008151,20601,Dairy & meat substitutes,"Sausage, vegetarian style, added Fe, Zn and vitamin B12, raw",74716,1,sausage,72,0
F008153,20601,Dairy & meat substitutes,"Sausage, vegetarian style, fried, no added fat",74717,1,fillet,100,0
F009739,20502,Dairy & meat substitutes,"Yoghurt, soy based, vanilla flavoured, reduced fat (1% fat)",74718,1,tub/container,175,0
F001973,14101,Fats and oils,"Butter, plain, salted",74719,1,packet/sachet,7,0
F001971,14101,Fats and oils,"Butter, plain, no added salt",74720,1,packet/sachet,7,0
F005370,14301,Fats and oils,"Margarine spread, polyunsaturated (70% fat)",74721,1,packet/sachet,4.7,0
F005373,14301,Fats and oils,"Margarine spread, polyunsaturated (70% fat), reduced salt (sodium 280 mg/100 g)",74722,1,packet/sachet,4.7,0
F005319,14306,Fats and oils,"Margarine spread, monounsaturated (70% fat), reduced salt (sodium 350 mg/100 g), added phytosterols",74723,1,packet/sachet,4.7,0
F005309,14303,Fats and oils,"Margarine spread, monounsaturated (>65% fat)",74724,1,packet/sachet,4.7,0
F005310,14303,Fats and oils,"Margarine spread, monounsaturated (>65% fat), reduced salt (sodium 360 mg/100 g)",74725,1,packet/sachet,4.7,0
F005345,14304,Fats and oils,"Margarine spread, monounsaturated, reduced fat (<65% fat)",74726,1,packet/sachet,4.7,0
F003729,17101,Egg products and dishes,"Egg, chicken, whole, raw",74729,1,egg,44,0
F003721,17101,Egg products and dishes,"Egg, chicken, whole, hard-boiled",74730,1,egg,41,0
F003725,17101,Egg products and dishes,"Egg, chicken, whole, poached",74731,1,egg,42,0
F003718,17101,Egg products and dishes,"Egg, chicken, whole, fried, no fat added",74732,1,egg,39,0
F003724,17102,Egg products and dishes,"Egg, chicken, whole, omega-3 polyunsaturate enriched, raw",74727,1,egg,44,0
F003723,17102,Egg products and dishes,"Egg, chicken, whole, omega-3 polyunsaturate enriched, boiled",74728,1,egg,44,0
F000086,16101,Fruit products and dishes,"Apple, bonza, unpeeled, raw",74733,1,fruit,164,0
F000091,16101,Fruit products and dishes,"Apple, fuji, unpeeled, raw",74734,1,fruit,164,0
F000092,16101,Fruit products and dishes,"Apple, golden delicious, unpeeled, raw",74735,1,fruit,151,0
F000095,16101,Fruit products and dishes,"Apple, granny-smith, unpeeled, raw",74736,1,fruit,153,0
F000099,16101,Fruit products and dishes,"Apple, jonathon, unpeeled, raw",74737,1,fruit,162,0
F000105,16101,Fruit products and dishes,"Apple, pink lady, unpeeled, raw",74738,1,fruit,164,0
F000107,16101,Fruit products and dishes,"Apple, red delicious, unpeeled, raw",74739,1,fruit,164,0
F000111,16101,Fruit products and dishes,"Apple, royal gala, unpeeled, raw",74740,1,fruit,164,0
F000110,16101,Fruit products and dishes,"Apple, red skin, unpeeled, raw",74741,1,fruit,164,0
F000134,16403,Fruit products and dishes,"Apricot, raw",74742,1,fruit,20,0
F000262,16501,Fruit products and dishes,"Banana, cavendish, peeled, raw",74744,1,fruit,98,0
F000267,16501,Fruit products and dishes,"Banana, lady finger or sugar, peeled, raw",74745,1,fruit,78,0
F003423,16504,Fruit products and dishes,"Custard apple, African pride, peeled, raw",74746,1,fruit,468,0
F003496,16802,Fruit products and dishes,"Date, dried",74747,1,fruit,5,0
F003818,16504,Fruit products and dishes,"Feijoa, raw",74748,1,fruit,30,0
F003832,16802,Fruit products and dishes,"Fig, dried",74749,1,fruit,19,0
F003834,16503,Fruit products and dishes,"Fig, fresh, unpeeled, raw",74750,1,fruit,50,0
F004262,16303,Fruit products and dishes,"Grapefruit, peeled, raw",74751,1,fruit,258,0
F004286,16504,Fruit products and dishes,"Guava, Hawaiian, raw",74752,1,fruit,90,0
F004594,16504,Fruit products and dishes,"Jackfruit, peeled, raw",74753,1,fruit,805,0
F004816,16601,Fruit products and dishes,"Kiwifruit, green (hayward), peeled, raw",74754,1,fruit,78,0
F004815,16601,Fruit products and dishes,"Kiwifruit, gold, peeled, raw",74755,1,fruit,78,0
F005174,16302,Fruit products and dishes,"Lemon, peeled, raw",74756,1,fruit,99,0
F005199,16302,Fruit products and dishes,"Lime, peeled, raw",74757,1,fruit,49,0
F005244,16105,Fruit products and dishes,"Loquat, peeled, raw",74758,1,fruit,13,0
F005255,16504,Fruit products and dishes,"Lychee, peeled, raw",74759,1,fruit,10,0
F005293,16303,Fruit products and dishes,"Mandarin, peeled, raw",74760,1,fruit,75,0
F005299,16504,Fruit products and dishes,"Mango, peeled, raw",74761,1,fruit,294,0
F006021,16401,Fruit products and dishes,"Nectarine, yellow, unpeeled, raw",74762,1,fruit,151,0
F006277,16301,Fruit products and dishes,"Orange, peeled, raw",74763,1,fruit,131,0
F006276,16301,Fruit products and dishes,"Orange, navel, peeled, raw",74764,1,fruit,162,0
F006279,16301,Fruit products and dishes,"Orange, valencia, peeled, raw",74765,1,fruit,131,0
F006333,16504,Fruit products and dishes,"Passionfruit, raw",74766,1,fruit,18,0
F006573,16401,Fruit products and dishes,"Peach, yellow, unpeeled, raw",74767,1,fruit,145,0
F006604,16103,Fruit products and dishes,"Pear, nashi, unpeeled, raw",74768,1,fruit,190,0
F006628,16503,Fruit products and dishes,"Persimmon, peeled, raw",74769,1,fruit,76,0
F006708,16505,Fruit products and dishes,"Pineapple, canned in pineapple juice, drained",74770,1,slice,40,0
F006832,16403,Fruit products and dishes,"Plum, unpeeled, raw",74771,1,fruit,66,0
F006826,16404,Fruit products and dishes,"Plum, dark, canned in syrup, drained",74772,1,fruit,31,0
F006842,16504,Fruit products and dishes,"Pomegranate, peeled, raw",74773,1,fruit,240,0
F007457,16504,Fruit products and dishes,"Prickly pear, peeled, raw",74774,1,fruit,86,0
F007494,16802,Fruit products and dishes,Prune (dried plum),74775,1,fruit,8,0
F007591,16105,Fruit products and dishes,"Quince, peeled, raw",74776,1,fruit,463,0
F007610,16801,Fruit products and dishes,Raisin,74777,1,box,40,0
F007612,16504,Fruit products and dishes,"Rambutan, raw",74778,1,fruit,16,0
F008952,16201,Fruit products and dishes,"Strawberry, raw",74779,1,fruit,12,0
F008983,16801,Fruit products and dishes,Sultana,74780,1,box,40,0
F009080,16503,Fruit products and dishes,"Tamarillo, peeled, raw",74781,1,fruit,71,0
F009087,16303,Fruit products and dishes,"Tangelo, peeled, raw",74782,1,fruit,115,0
F009088,16303,Fruit products and dishes,"Tangerine or tangor, peeled, raw",74783,1,fruit,86,0
F006830,16804,Fruit products and dishes,"Plum, salted",74784,1,plum,1.6,0
F002755,18903,"Meat, poultry and game products and dishes","Chicken, nugget, purchased frozen, baked, no added fat",74785,1,nugget,20,0
F002752,18903,"Meat, poultry and game products and dishes","Chicken, nugget, purchased from independent takeaway & fast food chain, fried, undefined oil",74786,1,nugget,18,0
F002752,18903,"Meat, poultry and game products and dishes","Chicken, nugget, purchased from independent takeaway & fast food chain, fried, undefined oil",74787,1,strip,38,0
F002751,18903,"Meat, poultry and game products and dishes","Chicken, nugget, purchased from fast food chain, grilled",74788,1,tender,40,0
F000228,18601,"Meat, poultry and game products and dishes","Bacon, middle rasher, untrimmed, raw",74789,1,rasher,64,0
F000227,18601,"Meat, poultry and game products and dishes","Bacon, middle rasher, untrimmed, fried, no added fat",74790,1,rasher,42,0
F000231,18601,"Meat, poultry and game products and dishes","Bacon, shortcut, as purchased without rind, fried, no added fat",74791,1,rasher,22,0
F001322,18606,"Meat, poultry and game products and dishes","Braised steak & onions, canned",74792,1,can,425,0
F004025,18502,"Meat, poultry and game products and dishes","Frankfurt, cooked",74793,1,frankfurt,25,0
F004025,18502,"Meat, poultry and game products and dishes","Frankfurt, cooked",74794,1,frankfurt,57,0
F004299,18602,"Meat, poultry and game products and dishes","Ham, leg, lean",74795,1,slice,25,0
F006675,13405,Cereal based products and dishes,"Pie, steak & kidney, canned",74796,1,can,425,0
