Public_Food_Key,Food_Survey_ID,Food_Name,"Energy, with dietary fibre","Energy, without dietary fibre",Moisture (water),Protein,Total_Fat,Alcohol,Total sugars,Added sugars,Calcium (Ca),Sodium (Na),Vitamin C,Vitamin E
F002159,13302,"Cake, lamington, unfilled",1233,1214,28.4,4.7,9.4,0,31.5,29,6,218,0,0.08
F002168,13303,"Cake, plain butter cake, commercial, iced",1555,1541,18.7,5,16.1,0,36.7,34.3,4,420,0,0.23
F002168,13303,"Cake, plain butter cake, commercial, iced",1555,1541,18.7,5,16.1,0,36.7,34.3,4,420,0,0.23
F003575,13605,"Doughnut, jam filled, sugar coated",1535,1519,24.9,6,17.6,0,19,18.7,55,440,0,0.26
F003573,13605,"Doughnut, dusted with cinnamon & sugar",1583,1568,24.2,6.6,19.5,0,13.7,13.6,60,487,0,0.27
F003574,13605,"Doughnut, iced",1517,1500,23.6,6.7,15.9,0,22.9,22.7,21,414,0,0.24
F005877,13304,"Muffin, cake-style, berry, commercial",1412,1397,28.6,5.2,15.7,0,26.1,24,110,367,2,1.8
F005882,13304,"Muffin, cake-style, chocolate chip, commercial",1567,1553,18.8,6.4,17.7,0,29.5,27.1,110,344,0,1.8
F006700,13602,"Pikelet or pancake, sweet, commercial",912,896,45.5,5.7,4.3,0,13.8,11.8,84,359,0,0.47
F008173,13307,"Scone, plain, commercial",1399,1382,23.6,7.9,8.5,0,6.5,4,70,761,0,0.94
F008172,13307,"Scone, fruit, commercial",1335,1314,22.1,6.4,6.6,0,21.3,5.4,67,560,0,0.73
F006143,12101,"Oats, rolled, uncooked",1489,1409,9.2,12.4,9.5,0,1,0,40,3,0,0.23
F007164,12601,"Porridge, rolled oats, prepared with water",276,261,83.2,2.3,1.8,0,0.2,0,9,4,0,0.04
F004362,13505,"Hamburger, white roll, beef patty, with salad, independent takeaway outlet",870,849,53.6,12.1,9.1,0,1.3,0.2,65,439,2,0
F006055,12402,"Noodle, wheat, instant, flavoured, dry, uncooked",1834,1804,5.6,10.6,19.1,0,0.9,0,28,1108,0,1.26
F006053,12402,"Noodle, wheat, instant, flavoured, boiled, drained",598,589,67,3.6,6.2,0,0.3,0,9,360,0,0.42
F006054,12402,"Noodle, wheat, instant, flavoured, boiled, undrained",225,221,87.6,1.3,2.3,0,0.1,0,4,137,0,0.16
F008737,13509,"Spaghetti in tomato & cheese sauce, canned",227,220,82.3,2.5,0,0,4,3.5,9,330,0,0
F008738,13509,"Spaghetti in tomato & cheese sauce, canned, reduced salt",227,220,82.3,2.5,0,0,4,2,9,352,0,0
